,full_text
0,ptn! ini beneran gaa yaa? kalo beneran ga adil dong? https://t.co/blWJmvGMGz
1,Selamat Berbuka UNY! Mahasiswa baru Lvl UKT baru tarif Uang Pangkal baru (Iuran Pengembangan Institusi) penderitaan baru. Tapi kinerja birokratny ga baru *Kita kasih bocoran dikit ya* https://t.co/G6knFkiXBO
2,Ada yang komen tulisan sy di kompas Kurikulum Merdeka untuk Siapa? Kok bisa murid sepeka ini sama gurunya? Anak ini kalau belajar pake design thinking empatinya benar-benar sukses. Hebat kamu nak! semoga berkah ilmu yang sedikit krn gurunya sibuk urus kurikulum. https://t.co/4MZ9W49M3a
3,joki bikin laporan observasi modul ajar kurikulum merdeka dari file berapa fee? yg ga DROP FEE skip JASTAG juga gausah rep #zonauang
4,Ini kata anakku 5 thn lalu pas dia SMA (Gymnasium) di Jerman. Sebenarnya ortu2 di sini lebih suka kurikulum yg materinya luas/banyak tapi pemahamannya di permukaan aja atau materi sedikit tapi pemahaman lebih mendalam? https://t.co/sLaEzQNNBG
5,ptn! nih yg nagih proofnya https://t.co/pNrQ8dUtli
6,kurikulum merdeka adalah kurikulum TERGAJELAS. Anak kelas 1 SD disuruh bikin prakarya dan dijual trus itung untung ruginya. Permisi anak gua masih ndusel ke leher gua kalo mau tidur disuruh nyari laba hasil jual gantungan kunci 
7,Kurikulum Merdeka dianggap bakal bikin anak2 jadi progresif risk taker strategic thinker bla.. bla.. bla. Benerin tuh concept mastery baru integrated knowledge &amp; transfer. Set dah ibaratnya passing aja belum bener udah ngomongin pressing dan high defense line. Keblinger.
8,STM otomotif Kurikulum Merdeka is my passion. https://t.co/JfspUA0PYX
9,Kurikulum Merdeka ditetapkan menjadi kurikulum nasional. Silakan unduh salinan Permendikbud-nya di sini: https://t.co/Unsfb1qWYa https://t.co/goSPiehscd
10,setelah melewati proses panjang sejak tahun 2020 akhirnya #kurikulummerdeka secara resmi ditetapkan menjadi Kurikulum Nasional di seluruh satuan pendidikan di Indonesia melalui Permendikbudristek No.12 Tahun 2024. yaayy! ️ https://t.co/fe0aaSYB6O
11,Masih banyak orang yg menganggap bahwa setiap orang memiliki standar kepintaran yang sama. Nilai mtk bagus = pinter selain itu engga dianggap. Pernah ngerasa gitu ga? Padahal setiap orang itu memiliki potensi yg berbeda dan ternyata itu ada di #KurikulumMerdeka https://t.co/eIhmekwf7Y
